branch_name,head_sha,last_commit_date,ahead_vs_main,behind_vs_main,head_reachable_from_main,reachable_from_retained_successor,retained_successor_branch,successor_or_acceptance_sha,related_pr,related_pr_status,team_status_references,repository_document_references,classification,reason
data/broker-margin-source-audit-v0,c7fcec2a5fc58e503cf1ea5fbff9e890dcf827ae,2026-08-13T09:27:42+07:00,4,207,false,false,,,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,DONE,coordination/TEAM_STATUS.md:71;origin/main:coordination/TEAM_STATUS.md,ARCHIVE_TAG_THEN_DELETE_BRANCH,Scientific lane is DONE and its decision/reference is documented; preserve exact HEAD/verdict with a proposed archive tag before deletion.
data/corporate-action-pit-availability-provenance-v1,254fcf21995bc6a22e4e11a6f3585ef487cb49c8,2026-08-14T22:57:59+07:00,24,115,false,false,,314b99a3a91e2297fa0061a52849ee3c64d60222;4f776a8f34eda012d4368287fe37699d4c8dc0dc;50718c3f23352444630160dc54934eaa2201289d,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,DONE;REVIEW,coordination/TEAM_STATUS.md:106;coordination/TEAM_STATUS.md:112;origin/main:coordination/TEAM_STATUS.md,KEEP,Live coordination status REVIEW; do not retire active or parked work.
data/corporate-action-pit-deterministic-linkage-v1,5222af3b68bf86765c43017912e990edf02148ad,2026-08-14T01:25:13+07:00,17,115,false,true,data/corporate-action-pit-availability-provenance-v1,254fcf21995bc6a22e4e11a6f3585ef487cb49c8,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,REVIEW,coordination/TEAM_STATUS.md:105;origin/main:coordination/TEAM_STATUS.md,KEEP,Live coordination status REVIEW; do not retire active or parked work.
data/corporate-action-pit-idx-publication-linkage-remediation-r2-v1,3b74c7890948929d1cbb2ad9a14eb76888d2f464,2026-08-15T01:15:52+07:00,29,115,false,false,,981e1586038d91392ac0397b12391a1cd37f010f,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,REVIEW,coordination/TEAM_STATUS.md:137;origin/main:coordination/TEAM_STATUS.md,KEEP,Live coordination status REVIEW; do not retire active or parked work.
data/corporate-action-pit-idx-publication-linkage-remediation-v1,7dbc5baf5e2937428af7f3badc1ef3617f3f386d,2026-08-15T00:35:33+07:00,27,115,false,true,data/corporate-action-pit-idx-publication-linkage-remediation-r2-v1,3b74c7890948929d1cbb2ad9a14eb76888d2f464,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,ACTIVE;REVIEW,coordination/TEAM_STATUS.md:125;coordination/TEAM_STATUS.md:131;origin/main:coordination/TEAM_STATUS.md,KEEP,"Live coordination status ACTIVE,REVIEW; do not retire active or parked work."
data/corporate-action-pit-idx-publication-linkage-v1,6a41234296b9fc6bf71bb45872a9c74a185e16aa,2026-08-14T23:35:32+07:00,26,115,false,false,,13c54861821998d2148d0a8df6252d6dc1a8cd64,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,ACTIVE;REVIEW,coordination/TEAM_STATUS.md:113;coordination/TEAM_STATUS.md:119;origin/main:coordination/TEAM_STATUS.md,KEEP,"Live coordination status ACTIVE,REVIEW; do not retire active or parked work."
data/corporate-action-pit-source-audit-v1,2de089f0e48ae2ee74ffd16c4361155a04dccc30,2026-08-14T00:31:32+07:00,8,115,false,true,data/corporate-action-pit-deterministic-linkage-v1,5222af3b68bf86765c43017912e990edf02148ad,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,REVIEW,coordination/TEAM_STATUS.md:104;origin/main:coordination/TEAM_STATUS.md,KEEP,Live coordination status REVIEW; do not retire active or parked work.
data/corporate-actions-v1,c66fc431a5af5f846dfdcd6abf9bf68f39c854f9,2026-08-12T00:19:35+07:00,506,283,false,false,,,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,NONE_FOUND,NONE_FOUND,ABANDONED_NO_DECISION,Not reachable from main and no tracked status/handoff/checkpoint/spec/manifest reference was found.
data/financial-pit-adapter-census-v1,d1cb537e844fb8da83551ba462c80c8debb623d4,2026-08-13T17:38:32+07:00,507,283,false,false,,723200c32e06d99831b8ea43700fe695c397e4a0,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,DONE,coordination/TEAM_STATUS.md:88;origin/main:coordination/TEAM_STATUS.md,ARCHIVE_TAG_THEN_DELETE_BRANCH,Scientific lane is DONE and its decision/reference is documented; preserve exact HEAD/verdict with a proposed archive tag before deletion.
data/financial-pit-fact-extraction-hardening-v1,baf0334a1dd6a31e9d88ae978630ec864bfb3410,2026-08-13T20:55:05+07:00,521,283,false,false,,,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,DONE,coordination/TEAM_STATUS.md:95;origin/main:coordination/TEAM_STATUS.md,ARCHIVE_TAG_THEN_DELETE_BRANCH,Scientific lane is DONE and its decision/reference is documented; preserve exact HEAD/verdict with a proposed archive tag before deletion.
data/financial-pit-fact-schema-v1,4013f90a56edc6d8409e6a7514a9170d5f301aff,2026-08-13T19:51:28+07:00,519,283,false,false,,,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,DONE,coordination/TEAM_STATUS.md:93;origin/main:coordination/TEAM_STATUS.md,ARCHIVE_TAG_THEN_DELETE_BRANCH,Scientific lane is DONE and its decision/reference is documented; preserve exact HEAD/verdict with a proposed archive tag before deletion.
data/financial-pit-feature-contract-v1,6b510d8d254dd47973e749ffeae7cf1569069395,2026-08-14T00:17:11+07:00,539,118,false,false,,,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,DONE,coordination/TEAM_STATUS.md:99;origin/main:coordination/TEAM_STATUS.md,ARCHIVE_TAG_THEN_DELETE_BRANCH,Scientific lane is DONE and its decision/reference is documented; preserve exact HEAD/verdict with a proposed archive tag before deletion.
data/financial-pit-feature-materialization-v1,7b5ed76c934b32cc7d995cc93870ac16d797e9e4,2026-08-14T02:03:24+07:00,546,118,false,false,,,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,DONE,coordination/TEAM_STATUS.md:101;origin/main:coordination/TEAM_STATUS.md,ARCHIVE_TAG_THEN_DELETE_BRANCH,Scientific lane is DONE and its decision/reference is documented; preserve exact HEAD/verdict with a proposed archive tag before deletion.
data/financial-pit-marketwide-fact-extraction-census-v1,419f0be54a7b08ee958c52b8a727be9423286d96,2026-08-13T21:52:37+07:00,523,283,false,false,,4c68b5a3259e89782f6263857630089b93ed04e8,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,DONE,coordination/TEAM_STATUS.md:96;origin/main:coordination/TEAM_STATUS.md,ARCHIVE_TAG_THEN_DELETE_BRANCH,Scientific lane is DONE and its decision/reference is documented; preserve exact HEAD/verdict with a proposed archive tag before deletion.
data/financial-pit-offline-scope-reclassification-v1,45d36eda095ea975182565804baaf899a9706c58,2026-08-13T19:03:38+07:00,515,283,false,false,,7c94bc8a87374a75fc73687c04c4f8b5b7146595,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,DONE,coordination/TEAM_STATUS.md:91;origin/main:coordination/TEAM_STATUS.md,ARCHIVE_TAG_THEN_DELETE_BRANCH,Scientific lane is DONE and its decision/reference is documented; preserve exact HEAD/verdict with a proposed archive tag before deletion.
data/financial-pit-period-boundary-remediation-v1,09e8e8eba738e4dcea3c871f0eda83b53cc07c42,2026-08-14T01:27:40+07:00,540,118,false,false,,,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,DONE,coordination/TEAM_STATUS.md:100;origin/main:coordination/TEAM_STATUS.md,ARCHIVE_TAG_THEN_DELETE_BRANCH,Scientific lane is DONE and its decision/reference is documented; preserve exact HEAD/verdict with a proposed archive tag before deletion.
data/financial-pit-revision-lineage-v1,58e5e26de4646794a38e844decf54890696375c5,2026-08-13T20:11:03+07:00,522,283,false,false,,903e843f3f53c14e7bdc7fb1e3d959f2cfe62a66,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,DONE,coordination/TEAM_STATUS.md:94;origin/main:coordination/TEAM_STATUS.md,ARCHIVE_TAG_THEN_DELETE_BRANCH,Scientific lane is DONE and its decision/reference is documented; preserve exact HEAD/verdict with a proposed archive tag before deletion.
data/financial-pit-scientific-notation-remediation-v1,98f409cda9943cc06747e875153c231d950a3221,2026-08-13T23:48:46+07:00,536,125,false,false,,22774855350d5a75b1b568d59b38f0d7205908aa,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,DONE,coordination/TEAM_STATUS.md:98;origin/main:coordination/TEAM_STATUS.md,ARCHIVE_TAG_THEN_DELETE_BRANCH,Scientific lane is DONE and its decision/reference is documented; preserve exact HEAD/verdict with a proposed archive tag before deletion.
data/financial-pit-statement-scope-v1,e4537c16c5011d8cafc55bc72e8f04017b874baf,2026-08-13T18:28:13+07:00,511,283,false,false,,8675b0bc05327779a3f39d4b1a3f90b2bfcda551,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,DONE,coordination/TEAM_STATUS.md:90;origin/main:coordination/TEAM_STATUS.md,ARCHIVE_TAG_THEN_DELETE_BRANCH,Scientific lane is DONE and its decision/reference is documented; preserve exact HEAD/verdict with a proposed archive tag before deletion.
data/financial-pit-template-drift-audit-v1,f2238f35546db0934e7ce1203cefc57fa05eec86,2026-08-13T22:58:17+07:00,526,127,false,false,,22774855350d5a75b1b568d59b38f0d7205908aa,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,DONE,coordination/TEAM_STATUS.md:97;origin/main:coordination/TEAM_STATUS.md,ARCHIVE_TAG_THEN_DELETE_BRANCH,Scientific lane is DONE and its decision/reference is documented; preserve exact HEAD/verdict with a proposed archive tag before deletion.
data/financial-pit-v1,25eaa67a7f5446234db470756fe8b5c12cbb7696,2026-08-13T16:40:08+07:00,505,283,false,false,,,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,DONE,coordination/TEAM_STATUS.md:86;origin/main:coordination/TEAM_STATUS.md,ARCHIVE_TAG_THEN_DELETE_BRANCH,Scientific lane is DONE and its decision/reference is documented; preserve exact HEAD/verdict with a proposed archive tag before deletion.
data/foreign-flow-forward-context-bridge-v1,490f1a9b09b3b5d67bfcfc7aa7e7930467ad3f1e,2026-08-15T20:09:08+07:00,70,105,false,true,review/idx-foreign-flow-forward-context-bridge-v1-final-acceptance,d47f0785102137e45cda6c9772a3699809d02615,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,NONE_FOUND,coordination/TEAM_STATUS.md:436;origin/main:coordination/TEAM_STATUS.md,KEEP,Protected O2/Foreign-Flow/Price-State/forward/runtime lineage; retain by repository hygiene policy.
data/foreign-flow-v1,193ccf85eb0f0115e9e1aa42c0e1aafe506a8461,2026-08-12T01:12:02+07:00,503,283,false,false,,,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,NONE_FOUND,NONE_FOUND,KEEP,Protected O2/Foreign-Flow/Price-State/forward/runtime lineage; retain by repository hygiene policy.
data/historical-universe-v1,d447c640788e65c7322224820fa192fabf4dec9c,2026-08-11T23:28:16+07:00,505,283,false,false,,,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,NONE_FOUND,NONE_FOUND,ABANDONED_NO_DECISION,Not reachable from main and no tracked status/handoff/checkpoint/spec/manifest reference was found.
data/idx-data-002,9e6e83d8cfd4ffb6d4b4ee3e8d337de2bebb8762,2026-08-11T12:17:32+07:00,5,283,false,false,,,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,NONE_FOUND,NONE_FOUND,ABANDONED_NO_DECISION,Not reachable from main and no tracked status/handoff/checkpoint/spec/manifest reference was found.
data/idx-data-002b,9e088d683b1cfa44c475a2248091355cfc014f6f,2026-08-11T12:16:20+07:00,9,283,false,false,,,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,NONE_FOUND,NONE_FOUND,ABANDONED_NO_DECISION,Not reachable from main and no tracked status/handoff/checkpoint/spec/manifest reference was found.
data/idx-data-002c,bc8fcf0a77575f5b42f77fe1d2aea9fc58b14cda,2026-08-11T12:17:02+07:00,142,283,false,false,,,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,NONE_FOUND,NONE_FOUND,ABANDONED_NO_DECISION,Not reachable from main and no tracked status/handoff/checkpoint/spec/manifest reference was found.
data/idx-data-002c-codex-cache,e46827c8887f3ea57bf98e79a55986d8ceadc8b3,2026-08-11T12:17:19+07:00,89,283,false,false,,,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,NONE_FOUND,NONE_FOUND,ABANDONED_NO_DECISION,Not reachable from main and no tracked status/handoff/checkpoint/spec/manifest reference was found.
data/idx-data-005-1260-prep,b1992b099e5682dbf1441ca0c287e6a9ca527bdc,2026-08-11T12:18:01+07:00,122,283,false,false,,,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,NONE_FOUND,NONE_FOUND,ABANDONED_NO_DECISION,Not reachable from main and no tracked status/handoff/checkpoint/spec/manifest reference was found.
data/idx-delisting-effective-date-semantics-v1,555326d78faf8f06bdbce838d1f018ec56571419,2026-08-15T23:16:16+07:00,3,10,false,false,,,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,NONE_FOUND,NONE_FOUND,ABANDONED_NO_DECISION,Not reachable from main and no tracked status/handoff/checkpoint/spec/manifest reference was found.
data/idx-direct-endpoint-audit-v1,87e6947c0121aba52111d3dc633e05448f6da644,2026-08-13T15:58:05+07:00,11,168,false,false,,,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,DONE,coordination/TEAM_STATUS.md:85;origin/main:coordination/TEAM_STATUS.md,ARCHIVE_TAG_THEN_DELETE_BRANCH,Scientific lane is DONE and its decision/reference is documented; preserve exact HEAD/verdict with a proposed archive tag before deletion.
data/idx-foreign-flow-forward-capture-v1,32bb1390303b9103ac53c6faa4d521c1352ee940,2026-08-13T23:58:04+07:00,382,283,false,true,data/idx-foreign-flow-historical-acquisition-v1,6b00624a3d1b7aeb7e8cfe8715e6b94f4e7cdb82,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,DONE,coordination/TEAM_STATUS.md:74;origin/main:coordination/TEAM_STATUS.md,KEEP,Protected O2/Foreign-Flow/Price-State/forward/runtime lineage; retain by repository hygiene policy.
data/idx-foreign-flow-historical-acquisition-v1,6b00624a3d1b7aeb7e8cfe8715e6b94f4e7cdb82,2026-08-14T01:03:35+07:00,386,283,false,false,,3297d060413849cd4934b9c475c1166ba7d76412,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,DONE,coordination/TEAM_STATUS.md:75;origin/main:coordination/TEAM_STATUS.md,KEEP,Protected O2/Foreign-Flow/Price-State/forward/runtime lineage; retain by repository hygiene policy.
data/idx-forward-calendar-extension-v1,398f1d0eec10abc6386e9bd21b309c3943fd21aa,2026-08-12T10:13:27+07:00,329,283,false,false,,,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,WAITING,coordination/TEAM_STATUS.md:68;origin/main:coordination/TEAM_STATUS.md,KEEP,Protected O2/Foreign-Flow/Price-State/forward/runtime lineage; retain by repository hygiene policy.
data/idx-free-float-effective-supply-v1,69cdd303ad937e6bc90d930955f751f1a2686ab0,2026-08-15T01:22:42+07:00,16,63,false,false,,,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,NONE_FOUND,coordination/TEAM_STATUS.md:272;coordination/TEAM_STATUS.md:285;coordination/TEAM_STATUS.md:297;origin/main:coordination/TEAM_STATUS.md,NEEDS_MANUAL_REVIEW,Scientific/documented branch is not reachable from main; deletion would risk losing a provenance anchor.
data/idx-historical-statutory-free-float-snapshot-v1,4762f4751cb4cc30d348704c7e19e65c47b7a329,2026-08-15T21:52:10+07:00,19,27,false,false,,,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,NONE_FOUND,coordination/TEAM_STATUS.md:510;coordination/TEAM_STATUS.md:523;origin/main:coordination/TEAM_STATUS.md,NEEDS_MANUAL_REVIEW,Scientific/documented branch is not reachable from main; deletion would risk losing a provenance anchor.
data/idx-hsc-full-history-ledger-v1,b86e3f4906edcc57f8d5f579906321e44d12be06,2026-08-15T19:37:15+07:00,34,63,false,false,,,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,NONE_FOUND,coordination/TEAM_STATUS.md:425;coordination/TEAM_STATUS.md:453;origin/main:coordination/TEAM_STATUS.md,NEEDS_MANUAL_REVIEW,Scientific/documented branch is not reachable from main; deletion would risk losing a provenance anchor.
data/idx-lbre-lineage-parser-remediation-v1,a42715f027fceb0c7cd24f68e65c9e91b7bfa049,2026-08-15T22:40:19+07:00,25,27,false,false,,,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,NONE_FOUND,coordination/TEAM_STATUS.md:549;coordination/TEAM_STATUS.md:610;origin/main:coordination/TEAM_STATUS.md,NEEDS_MANUAL_REVIEW,Scientific/documented branch is not reachable from main; deletion would risk losing a provenance anchor.
data/idx-lbre-monthly-free-float-history-v1,f6537c09b5121cc8b185df4fd9d672e305a879d1,2026-08-15T22:53:53+07:00,27,27,false,false,,,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,NONE_FOUND,coordination/TEAM_STATUS.md:638;origin/main:coordination/TEAM_STATUS.md,NEEDS_MANUAL_REVIEW,Scientific/documented branch is not reachable from main; deletion would risk losing a provenance anchor.
data/idx-open-backfill-tier2-audit-v1,5818bba5d7f40b851b31581579c56fb0c6a6a3ef,2026-08-11T12:19:02+07:00,242,283,false,false,,,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,NONE_FOUND,NONE_FOUND,ABANDONED_NO_DECISION,Not reachable from main and no tracked status/handoff/checkpoint/spec/manifest reference was found.
data/idx-open-backfill-tradingview-identity-remediation-v1,969367bcbc0f5ee28a403c8d7f01a6aaab9cfeb3,2026-08-12T00:22:33+07:00,293,283,false,true,data/idx-forward-calendar-extension-v1,398f1d0eec10abc6386e9bd21b309c3943fd21aa,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,NONE_FOUND,NONE_FOUND,ABANDONED_NO_DECISION,Not reachable from main and no tracked status/handoff/checkpoint/spec/manifest reference was found.
data/idx-open-backfill-v1,9b3a5db2eefbc3ab1833c824e629648636544c60,2026-08-11T12:19:13+07:00,234,283,false,false,,,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,NONE_FOUND,NONE_FOUND,ABANDONED_NO_DECISION,Not reachable from main and no tracked status/handoff/checkpoint/spec/manifest reference was found.
data/idx-open-backfill-yahoo-census-v1,2a40b1da4f75a0c8c80b2045e5e07f3ea0ed50e7,2026-08-11T14:50:23+07:00,260,283,false,true,data/idx-forward-calendar-extension-v1,398f1d0eec10abc6386e9bd21b309c3943fd21aa,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,NONE_FOUND,NONE_FOUND,ABANDONED_NO_DECISION,Not reachable from main and no tracked status/handoff/checkpoint/spec/manifest reference was found.
data/idx-open-backfill-yahoo-semantics-v1,51cac00fe2214a4ac75412af7c6d664ff08b3a7c,2026-08-11T12:19:36+07:00,248,283,false,false,,,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,NONE_FOUND,NONE_FOUND,ABANDONED_NO_DECISION,Not reachable from main and no tracked status/handoff/checkpoint/spec/manifest reference was found.
data/idx-open-backfill-zapi-alt-endpoints-audit-v1,d7114df0bdbc4e1ecaacb0091a3b84772d4391e1,2026-08-11T20:32:36+07:00,279,283,false,true,data/idx-forward-calendar-extension-v1,398f1d0eec10abc6386e9bd21b309c3943fd21aa,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,NONE_FOUND,NONE_FOUND,ABANDONED_NO_DECISION,Not reachable from main and no tracked status/handoff/checkpoint/spec/manifest reference was found.
data/idx-open-backfill-zapi-investing-residual-audit-v1,b553325ca0477415f9d669355ca2ef0dd42bc1f7,2026-08-12T00:01:29+07:00,296,283,false,false,,,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,NONE_FOUND,NONE_FOUND,ABANDONED_NO_DECISION,Not reachable from main and no tracked status/handoff/checkpoint/spec/manifest reference was found.
data/idx-open-backfill-zapi-residual-audit-v1,fa39fb576516d91265cc884d437b60d8d8415b1a,2026-08-11T15:57:02+07:00,270,283,false,true,data/idx-forward-calendar-extension-v1,398f1d0eec10abc6386e9bd21b309c3943fd21aa,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,NONE_FOUND,NONE_FOUND,ABANDONED_NO_DECISION,Not reachable from main and no tracked status/handoff/checkpoint/spec/manifest reference was found.
data/idx-open-backfill-zapi-tradingview-resume-v1,dda3cb1ca7ed455e1cb932c093639723e4d3ea82,2026-08-11T21:56:46+07:00,282,283,false,true,data/idx-forward-calendar-extension-v1,398f1d0eec10abc6386e9bd21b309c3943fd21aa,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,NONE_FOUND,NONE_FOUND,ABANDONED_NO_DECISION,Not reachable from main and no tracked status/handoff/checkpoint/spec/manifest reference was found.
data/idx-open-backfill-zapi-tradingview-targeted-census-v1,d26f9956f8c736a277a7108805376105e6cfedcf,2026-08-11T23:06:38+07:00,289,283,false,true,data/idx-forward-calendar-extension-v1,398f1d0eec10abc6386e9bd21b309c3943fd21aa,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,NONE_FOUND,NONE_FOUND,ABANDONED_NO_DECISION,Not reachable from main and no tracked status/handoff/checkpoint/spec/manifest reference was found.
data/idx-open-official-stock-summary-recovery-v1,e70ac11494c2d449d9bbc14aa246f5a34d2e01ea,2026-08-14T02:01:47+07:00,1,91,false,false,,,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,REVIEW,coordination/TEAM_STATUS.md:69;origin/main:coordination/TEAM_STATUS.md,KEEP,Live coordination status REVIEW; do not retire active or parked work.
data/idx-open-research-coverage-gate-v1,1d6709ecac589c7578b20b029041e125189d1ebc,2026-08-12T00:48:29+07:00,297,283,false,true,data/idx-forward-calendar-extension-v1,398f1d0eec10abc6386e9bd21b309c3943fd21aa,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,NONE_FOUND,NONE_FOUND,ABANDONED_NO_DECISION,Not reachable from main and no tracked status/handoff/checkpoint/spec/manifest reference was found.
