pr_number,state,draft,merged,head_branch,pr_head_sha,current_remote_head,base_branch,recommendation,reason
11,OPEN,true,false,data/idx-open-backfill-v1,9b3a5db2eefbc3ab1833c824e629648636544c60,9b3a5db2eefbc3ab1833c824e629648636544c60,main,CLOSE_AFTER_ARCHIVE,wildan_fail_closed_lineage
12,OPEN,true,false,ops/idx-forward-open-archive-v1,dc5e84b589eebe040119f48f9f69538d398a9d36,dc5e84b589eebe040119f48f9f69538d398a9d36,main,CLOSE_AFTER_ARCHIVE,legacy_open_scheduler_superseded
13,OPEN,true,false,data/idx-open-backfill-tier2-audit-v1,5818bba5d7f40b851b31581579c56fb0c6a6a3ef,5818bba5d7f40b851b31581579c56fb0c6a6a3ef,main,CLOSE_AFTER_ARCHIVE,superseded_open_audit
14,OPEN,true,false,data/idx-open-backfill-yahoo-semantics-v1,51cac00fe2214a4ac75412af7c6d664ff08b3a7c,51cac00fe2214a4ac75412af7c6d664ff08b3a7c,main,CLOSE_AFTER_ARCHIVE,superseded_yahoo_semantics_audit
15,OPEN,true,false,data/idx-open-backfill-yahoo-census-v1,2a40b1da4f75a0c8c80b2045e5e07f3ea0ed50e7,2a40b1da4f75a0c8c80b2045e5e07f3ea0ed50e7,main,CLOSE_AFTER_ARCHIVE,completed_yahoo_census_no_promotion
16,CLOSED,true,false,frontend/model-monitoring-v1,a120048bf123e2883685396c403793d475d0f28b,a120048bf123e2883685396c403793d475d0f28b,main,ALREADY_CLOSED_NO_ACTION,closed_frontend_lineage
17,OPEN,true,false,data/idx-pit-sector-history-v1,c855568d06a0749d52bfa5104ab09381491fede4,c855568d06a0749d52bfa5104ab09381491fede4,main,CLOSE_AFTER_ARCHIVE,superseded_by_parked_revival_lane
18,OPEN,true,false,data/historical-universe-v1,d447c640788e65c7322224820fa192fabf4dec9c,d447c640788e65c7322224820fa192fabf4dec9c,main,CLOSE_AFTER_ARCHIVE,failed_bounded_window_lineage
19,OPEN,true,false,data/corporate-actions-v1,c66fc431a5af5f846dfdcd6abf9bf68f39c854f9,c66fc431a5af5f846dfdcd6abf9bf68f39c854f9,main,CLOSE_AFTER_ARCHIVE,superseded_corporate_action_pit_lanes
20,CLOSED,true,false,data/financial-pit-v1,25eaa67a7f5446234db470756fe8b5c12cbb7696,25eaa67a7f5446234db470756fe8b5c12cbb7696,main,ALREADY_CLOSED_NO_ACTION,closed_stale_archived_lineage
21,OPEN,true,false,docs/data-foundation-status-v1,4efe5108398d772da5cb9711f7619e16bde853f,4efe5108398d772da5cb9711f7619e16bde853f,main,CLOSE_AFTER_ARCHIVE,superseded_documentation_dashboard
22,OPEN,true,false,data/foreign-flow-v1,193ccf85eb0f0115e9e1aa42c0e1aafe506a8461,193ccf85eb0f0115e9e1aa42c0e1aafe506a8461,main,CLOSE_AFTER_ARCHIVE,superseded_foreign_flow_lanes
23,OPEN,true,false,data/ownership-ksei-v1,e3735b71ad14344ea5b2191622e7c926f65eaca7,e3735b71ad14344ea5b2191622e7c926f65eaca7,main,CLOSE_AFTER_ARCHIVE,superseded_ownership_free_float_lanes
24,CLOSED,true,false,data/idx-foreign-flow-forward-capture-v1,aee23ecbef9e65b752494f1658f8728f299e739a,32bb1390303b9103ac53c6faa4d521c1352ee940,main,ALREADY_CLOSED_NO_ACTION,closed_PR_head_drifted_from_current_branch
25,OPEN,true,false,data/foreign-flow-forward-context-bridge-v1,490f1a9b09b3b5d67bfcfc7aa7e7930467ad3f1e,490f1a9b09b3b5d67bfcfc7aa7e7930467ad3f1e,main,KEEP_OPEN,forward_context_lineage
26,OPEN,true,false,research/idx-price-trend-confirmation-state-v1,a33863953b4521dd4549a3089f0da2cfdfb6dcd3,a33863953b4521dd4549a3089f0da2cfdfb6dcd3,main,KEEP_OPEN,active_price_trend_lineage
27,OPEN,true,false,integration/price-trend-state-forward-sidecar-v1,a4d19fd1615c4a9f9988ed16540c34f5efbe1b1a,a4d19fd1615c4a9f9988ed16540c34f5efbe1b1a,main,KEEP_OPEN,active_forward_sidecar_lineage
28,OPEN,true,false,integration/price-trend-runtime-bridge-adapter-v1,6d0470e81599b4772cd62a676ae2201f94001efe,6d0470e81599b4772cd62a676ae2201f94001efe,main,KEEP_OPEN,active_runtime_adapter_lineage
29,OPEN,true,false,data/idx-delisting-effective-date-semantics-v1,555326d78faf8f06bdbce838d1f018ec56571419,555326d78faf8f06bdbce838d1f018ec56571419,main,KEEP_OPEN,active_delisting_semantics_lane
