FINDING_ID,HUNTER_CLAIM,AUDIT_TARGET_SHA,EXACT_FILES_BLOBS,REACHABLE_CANONICAL_PATH,PROJECT_CONTRACT,CHALLENGER_ATTACK,REPRODUCTION_ATTEMPT,REPRODUCTION_RESULT,COUNTEREVIDENCE,SCIENCE_IMPACT,PRODUCTION_IMPACT,PROSPECTIVE_IMPACT,ACTUAL_BLAST_RADIUS,ROOT_CAUSE_CLUSTER,CHALLENGER_VERDICT,CONFIDENCE
A13,Warmup counts observed not post-listing sessions,adc071d6fd7e8009557bed27b1224217421514ae,universe.py:64-86 98-106,Universe to model population,Warmup is PIT session based,static_path_verified,pre-listing and weekend rows,observed count satisfies warmup,tests use clean fixture,Potential population drift,Not proven live,Prospective population risk,Universe helper,calendar_pit_semantics,LIKELY_REAL,High
A14,Provenance allows missing source and replacement,adc071d6fd7e8009557bed27b1224217421514ae,provenance.py:33-38 69-73,Inventory to admission,Missing or changed input blocks,static_path_verified,missing path and manifest overwrite,None hard failure at helper,Higher gates add rehashing,Historical identity risk,Not proven live,Admission provenance risk,Manifest registry,provenance_binding,CONFIRMED,High
A15,Evaluation gate lacks complete producer and state binding,adc071d6fd7e8009557bed27b1224217421514ae,code pin config; gate:387-452 912-979 1454-1575,Preaccess bundle to metric engine,Exact producer input target state bound,static_path_verified,alternate score target or NAV,unbound changes pass shape checks,Real mode is blocked NOT_AVAILABLE,Attribution risk,Not proven live,High admission risk,Score target NAV state,evaluation_provenance,LIKELY_REAL,High
A16,Metrics do not enforce EVALUABLE filter,adc071d6fd7e8009557bed27b1224217421514ae,prospective_evaluation_v1.py:225-252 735-835,Ledger validation to full alpha metrics,Only eligible rows enter,static_path_verified,add non-evaluable alpha row,row remains unless caller filters,caller may prefilter,IC and rank risk,No live evaluation,Prospective metric risk,Evaluation statistics,evaluation_metrics,LIKELY_REAL,High
A17,Top-k accepts undersized population,adc071d6fd7e8009557bed27b1224217421514ae,prospective_evaluation_v1.py:225-252 301-346,Score to rank summaries,Top-k denominators meaningful,static_path_verified,two-name session,TOP_10 still emits,rank less-than-k may be intended,Population comparability risk,No live evaluation,Prospective statistic risk,Metrics,evaluation_metrics,LIKELY_REAL,High
A18,Feature builder lacks machine-bound CA basis evidence,adc071d6fd7e8009557bed27b1224217421514ae,6b6 ranking features:229-324; forward_ohlcv:25-33,CA evidence to numeric features,Verified basis and timing required,static_path_verified,numeric HLCV without metadata,features proceed,admission may block,Historical semantics risk,No live input,High if reachable,Feature inputs,ca_basis_provenance,LIKELY_REAL,Medium
A19,Generic Security Master lacks instrument scope,adc071d6fd7e8009557bed27b1224217421514ae,security_master.py:10-19 33-65; providers idx.py:40-53,Provider identity to universe,Common shares and scope explicit,static_path_verified,wrong-board or non-common row,no generic scope veto,Path-A adds controls,PIT identity risk,Not proven live,Prospective identity risk,Security universe,identity_semantics,LIKELY_REAL,Medium
A20,Generic delisted adapter only page one,adc071d6fd7e8009557bed27b1224217421514ae,providers idx.py:56-100; Path-A:6b6:130-239,Delisted provider to master,Source exhaustive or incomplete,static_path_verified,mock hidden page two,partial result returned,Path-A exhausts pages,Historical identity risk,Canonical impact not proven,Legacy provider,Security history,identity_semantics,LIKELY_REAL,High
A21,23 registered workflows versus 10 tree files is a defect,adc071d6fd7e8009557bed27b1224217421514ae,GitHub metadata and origin/main workflow tree,Registry to runnable surface,Inventory count proves defect,static_path_verified,compare registry and tree,13 absent registrations unclassified,gh workflow view cannot find absent default-ref files,No direct science,Harmful execution unknown,Potential stale writers,13 absent registrations,workflow_registry,UNRESOLVED_DISPUTE,High
A22,E2E input manifest lacks approved expected hash,adc071d6fd7e8009557bed27b1224217421514ae,origin/main workflow:87; runtime input validation,E2E workflow to manifest to runtime,Frozen bundle externally bound,static_path_verified,replace schema-valid manifest,changed bundle can rehash,internal schema/hash checks remain,Input identity risk,Not observed,High prospective risk,E2E input,provenance_binding,LIKELY_REAL,High
A23,Watchdog installer accepts mutable checkout,adc071d6fd7e8009557bed27b1224217421514ae,install_github_schedule_watchdog.ps1:17-32,Task to supplied RepoRoot to script,Fallback bytes pinned,static_path_verified,install stale checkout,task runs present bytes,installed bytes reportedly match,No direct science,Not proven live,Prospective scheduler risk,Windows fallback,scheduler_false_green,LIKELY_REAL,High
A24,TEAM_STATUS HEAD drift is production bug,adc071d6fd7e8009557bed27b1224217421514ae,TEAM_STATUS claim file and current PR metadata,Coordination snapshot to operator,Refs must always be current,static_path_verified,compare status to PR heads,drift confirmed but no causal error,PR heads naturally move and status is dated,No direct science,No production defect,Review-target risk,Coordination readers,documentation_drift,LIKELY_FALSE_POSITIVE,High
A25,Legacy 56602 CA geometry is current Phase-B size,d018ba4dc4d55daa48d9832b65df6d68e469d396,PR108 R3 handoff:30-47 88-99 122-146,CA support lineage to admission,Impact uses current support,static_path_verified,compare support sets,old overlay is not applicable proven and no recompute,old evidence is hash-pinned but superseded,Historical contamination unresolved,No live evaluation,Direct data blocker,CA support,ca_basis_lineage,CONFIRMED,High
A26,Source row and economic event counts are interchangeable,d018ba4dc4d55daa48d9832b65df6d68e469d396,Current CA handoffs and ontology correction,Source evidence to event taxonomy,Ontologies remain separate,static_path_verified,reconcile typed counts,412 source versus 389 events versus 155 resolved versus 188 unresolved events versus 46 excluded,Current handoff keeps distinction,Mislabeling risk,No runtime effect,Admission report risk,CA reports,ca_ontology,CONFIRMED,High
A27,Stream reported self-hash hashes stored manifest bytes,adc071d6fd7e8009557bed27b1224217421514ae,stream_capture_v2.py:578-615,Manifest serialize to store to self-hash,Hash describes stored bytes,static_path_verified,recompute SHA over stored JSON,reported hash field was added after put,external metadata may be intended,Audit replay ambiguity,Not observed,Prospective provenance risk,Stream manifest,provenance_binding,CONFIRMED,High
A28,E2E stage identity fully reconstructs controller,adc071d6fd7e8009557bed27b1224217421514ae,6b6 runner.py:413-430; archive:809-829,Stage commit to code identity,Replay identifies controller pins,static_path_verified,enumerate persisted identity,workflow run provider and variable fields absent,Workflow pins some values separately,Post-hoc attribution gap,Not observed,Prospective audit risk,Stage provenance,provenance_binding,LIKELY_REAL,High
A29,Off-main E2E pin lacks durable reviewed retention,adc071d6fd7e8009557bed27b1224217421514ae,workflow 6b6 plus branch metadata,Main workflow to off-main checkout,Accepted ref permanent reviewed,static_path_verified,inspect protection and PR,exact SHA works but branch unprotected,Git object is immutable while retained,No direct science,Not observed,Future deployment risk,E2E ref,pin_durability,LIKELY_REAL,High
A30,Current CA remediation proves KSEI and transition coverage,d018ba4dc4d55daa48d9832b65df6d68e469d396,PR108 R3 handoff:39-47 122-146,CA authority to admission,Date-level as-of and transitions required,static_path_verified,read frozen verdict,coverage fails and temporal unknown,identity hashes pass but authority fails,Historical training input blocked,No live evaluation,Direct admission blocker,KSEI CA authority,ca_basis_lineage,CONFIRMED,High
